spaceFormID,spaceDisplayName,spaceEditorID,isWorldspace,isInstanceable
1013135,MS10ElevTrans,Quick Test Cell,0,0
1014858,COPY0050,,0,0
1014861,COPY0048,,0,0
1014863,COPY0047,,0,0
1027269,COPY0049,,0,0
1059712,PackInterminalProtectron_PackInStorageCell,,0,0
1082946,PackInCircuitBreakerPackInStorageCell,,0,0
1083894,COPY0043,,0,0
111286,COPY0256,,0,0
1114885,COPY0044,,0,0
1124134,COPY0051,,0,0
1124136,PackInCZSpotlightMainStorageCell,,0,0
1148054,COPY0055,,0,0
1148056,COPY0054,,0,0
1148058,COPY0053,,0,0
1148060,PackInEmbankmentIsland_SmallThin01GStorageCell,,0,0
1148062,PackInEmbankmentIsland_LargeShort01GStorageCell,,0,0
1148118,COPY0053DUPLICATE000,,0,0
1148440,WarehouseGunTraps,TrapGunPackins,0,0
1155711,COPY0057,,0,0
1155713,COPY0056,,0,0
115607,PackInMutantPackinTestStorageCell,,0,0
1156246,COPY0056DUPLICATE000,,0,0
119064,COPY0259,,0,0
119068,COPY0258,,0,0
1193360,COPY0058,,0,0
1195435,PackInCorpseYaoGuai01forFeedingStorageCell,,0,0
1195437,PackInCorpseMolerat01forFeedingStorageCell,,0,0
1195664,COPY0060,,0,0
1197267,PackInBoatFishing01PackInStorageCell,,0,0
119836,PackInRaiderPatrolPackStorageCell,,0,0
1202782,PackInTruckFlatbedMegaloaderStorageCell,,0,0
1225856,COPY0003DUPLICATE000,,0,0
1225858,COPY0002DUPLICATE000,,0,0
1225860,PackInMetalFireBarrelGratingSStorageCell,,0,0
1225862,PackInBldPlugJLight01GoboStorageCell,,0,0
1225864,PackInBldPlugILight01GoboStorageCell,,0,0
1225866,PackInBldPlugHLight01GoboStorageCell,,0,0
1225868,PackInBldPlugGLight01GoboStorageCell,,0,0
1225870,PackInBldPlugFLight01GoboStorageCell,,0,0
1225872,PackInBldPlugELight01GoboStorageCell,,0,0
1225874,PackInBldPlugDLight01GoboStorageCell,,0,0
1225876,PackInBldPlugCLight01GoboStorageCell,,0,0
1227429,COPY0059DUPLICATE000,,0,0
1227547,COPY0006DUPLICATE000,,0,0
1310390,COPY0061,,0,0
1311956,PackInGurney01WithCushionStorageCell,,0,0
1312104,COPY0064,,0,0
1312106,PackInTreeMapleForest01CrowMarkerPackinStorageCell,,0,0
1312108,PackInTreeMapleForestsmall1CrowMarkerPackinStorageCell,,0,0
1312110,COPY0061DUPLICATE000,,0,0
1314975,COPY0071,,0,0
1314977,COPY0070,,0,0
1314979,COPY0069,,0,0
1316608,COPY0072,,0,0
1325526,COPY0073,,0,0
1334673,PackInVaultDoorConsolePackInStorageCell,,0,0
1336865,COPY0078,,0,0
1336867,COPY0077,,0,0
1336869,COPY0076,,0,0
1336871,COPY0072DUPLICATE000,,0,0
1336873,PackInTrapGunWallHorizAutoPackinStorageCell,,0,0
1336875,PackInTrapGunWallHorizMissilePackinStorageCell,,0,0
1336877,PackInTrapGunWallHorizShotgunPackinStorageCell,,0,0
1336879,PackInTrapGunWallHorizRiflePackinStorageCell,,0,0
1336881,PackInTrapGunWallHorizPistolPackinStorageCellDUPLICATE002,,0,0
1337079,PackInTrapGunWallVertPistolPackinStorageCellDUPLICATE001,,0,0
1337081,PackInTrapGunWallVertRiflePackinStorageCell,,0,0
1337083,PackInTrapGunWallVertShotgunPackinStorageCell,,0,0
1337085,PackInTrapGunWallVertMissilePackinStorageCell,,0,0
1337087,PackInTrapGunWallVertAutoPackinStorageCell,,0,0
1360667,COPY0062,,0,0
1371184,PackInHITLight01StorageCell,,0,0
1398896,COPY0063,,0,0
1398898,COPY0066,,0,0
1398899,COPY0067,,0,0
1398900,COPY0068,,0,0
1407239,PackInHightTechLightCeiling04PackInStorageCell,,0,0
1408867,WarehouseWorkbenches,Workbench Bonanza,0,0
1408968,COPY0286,,0,0
1409038,COPY0288,,0,0
1409060,PackInHighTechLightCeiling02PackInsStorageCell,,0,0
1409065,PackInTesttestestStorageCell,,0,0
1417697,PackInFloorTypesPackInStorageCell,,0,0
1442263,WarehouseIndustrialMachines,The Incredible Machines,0,0
1444720,COPY0079,,0,0
1444722,COPY0075,,0,0
1451920,COPY0080,,0,0
1451922,COPY0074DUPLICATE000,,0,0
1452642,COPY0081,,0,0
1463000,COPY0082,,0,0
1473799,COPY0087,,0,0
1473801,COPY0086,,0,0
1476120,COPY0083,,0,0
1480550,COPY0065,,0,0
148130,CTEST,Quick Test Cell,0,0
148429,PackInDirtSlope01Forest01StorageCell,,0,0
1489642,COPY0085,,0,0
1494461,COPY0084,,0,0
1511237,COPY0097,,0,0
1511239,COPY0096,,0,0
1511241,COPY0095,,0,0
1511243,COPY0094,,0,0
1511245,COPY0093,,0,0
1511247,COPY0092,,0,0
1511249,COPY0091,,0,0
1511251,COPY0090,,0,0
1511253,COPY0089,,0,0
1511255,COPY0088,,0,0
1512891,COPY0100,,0,0
1512893,COPY0099,,0,0
1512895,COPY0098,,0,0
1523160,COPY0101,,0,0
1530748,COPY0105,,0,0
1530750,COPY0104,,0,0
1530752,COPY0103,,0,0
1530754,COPY0102,,0,0
1532734,PackInBusStop01StorageCell,,0,0
1544699,PackInHitLight01B_CoolStorageCell,,0,0
1545891,PackInTrapMonkeyPackinStorageCell,,0,0
1553729,COPY0106,,0,0
1554918,COPY0107,,0,0
1559041,InstituteAliasCell,,0,0
1562707,COPY0289,,0,0
1562709,COPY0287,,0,0
1573444,PackInSpotLightVaultCeilingNSStorageCell,,0,0
1573445,PackInSpotLightVaultCeilingSStorageCell,,0,0
1573446,PackInSpotLightVaultWallSStorageCell,,0,0
1575504,COPY0111,,0,0
1575506,COPY0110,,0,0
